Session_ID,breakout,title,description,startDate,startTime,endTime,industries,location,products,role,skillLevel,solutions,speakers,track,type
130B,18,"Security Ninjutsu Part Two: More Security Analytics, Correlation and Action!","At .conf2014 in Security Ninjutsu, we covered four real customer scenarios that allowed security users to leverage advanced correlation and anomaly detection, moving beyond basic incident response. You needn't have attended last year's session because this year we will cover four totally new use cases! We will be diving into analytics (basic through advanced) and threat discovery, easy apps for hunting, new bidirectional threat intel integrations and more! Through each of the examples, we will review the data sources, discuss how to analyze them, and see what actions could be taken, providing reusable examples for how to level up your security capabilities with Splunk software.",2015-09-24,2015-09-24 13:15,2015-09-24 14:00,Unknown,Unknown,Splunk Enterprise,Security Analyst,Intermediate,Security Compliance and Anti-fraud;;Best Practices,"David Veuve - Sr. Sales Engineer, Splunk",Security Compliance and Anti-fraud,Breakout Sessions
152,15,End-to-End Monitoring and Unified Performance Dashboard Within a State Agency,"Large state agencies deal with extremely complex IT environments, making it hard to aggregate, correlate and analyze information in real time. Collaborating across the internal stakeholders that own each data set can also prove difficult.
Learn how to develop an end-to-end monitoring solution to eliminate availability issues impacting end-user productivity within agencies and disruptions to the delivery of public-facing citizen services. 
Additionally, learn how to create dashboards that provide integrated visual analytics, allowing users to visually interact with their data to better collaborate and share results, customized for each group of key stakeholders.
The ability to transform raw data into visually meaningful and useful information will allow your agency or organization to deliver timelier triage, determine root cause faster, decrease MTTR from hours to minutes and become proactive in avoiding outages. ",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,"Public Sector
Technology
Manufacturing",120 (Level 1) ,Splunk Enterprise,Administrator;;Architect;;Developer;;Operations Manager;;Security Analyst,Good for All Skill Levels ,Application Delivery;;IT Operations;;Log Management;;Business Analytics;;Best Practices;;Customer Success Story,"Calvin Smith - Cyber Technologist, Solutions Architect and Project Lead, Northrop Grumman;;Michael Rodriguez, Rich Galloway - Engineer, Systems Engineer, Northrop Grumman",Using Splunk/Search Language,Breakout Sessions
138,15,Advanced Interactions Using SimpleXML,"Splunk dashboards and forms provide a solid framework to quickly compose static content for showing and visualizing data from search results. Tapping into the full power of SimpleXML allows you to go beyond that and build rich interactions and workflows into your dashboards without resorting to code.
In this session you'll learn how to take a rudimentary dashboard and advance it step by step to provide a rich and interactive user experience, covering hooks and building blocks available in SimpleXML, including new ones introduced in the next version of Splunk.",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Unknown,301-302 (Level 3) ,Splunk Enterprise,Administrator;;Architect;;Developer;;Operations Manager;;Security Analyst,Advanced,Best Practices;;Visualization,"Mathew Elting - Senior Software Engineer, Splunk;;Siegfried Puchbauer - Senior Software Engineer, Splunk",Developing,Breakout Sessions
153,17,Add-On Best Practices Check Tool,"What are the differences between add-ons and apps?
We'll answer this question as part of a presentation revealing best practices for building add-ons with a focus on ensuring that your efforts meet the goals of your add-on, whether they be for internal use or posted on Splunkbase. 
We will discuss best practices as they relate to building an add-on, including ensuring that it is Common Information Model (CIM) compliant (to facilitate data exploration and use with CIM-compatible apps), testing the add-on, and more.
We will reference online resources, while revealing best practices worth adopting and providing caution of common pitfalls that may be avoided. Tools that make the task of building, testing and maintaining an add-on much easier will be covered as well.",2015-09-24,2015-09-24 12:15,2015-09-24 13:00,Unknown,Community Theater Marquee Ballroom ,Splunk Enterprise,Developer;;Administrator,Intermediate,Best Practices,"Brian Wooden - Senior Manager of Security Add-Ons, Splunk;;Jack Coates - Director, Product Management, Splunk",Developing,Breakout Sessions
143,16,Using Web Logs in Splunk to Dynamically Create Synthetic Transaction Tests for Website Monitoring,"Pacific Northwest National Laboratory (PNNL) uses Selenium synthetic transaction tests built in Python to monitor hosted websites. These act as a user running a real browser to visit sites and perform a set of steps. Tests are run and captured using the Universal Forwarder to gather critical data.

While these tests have been extremely valuable, manually creating tests for over 200 websites was very time consuming and difficult to maintain. Splunk to the rescue! We created a report using web logs of all the websites hosted by PNNL, grouped by server and sorted by highest traffic. Using the Splunk SDK for Python, we pulled this report and dynamically created Selenium tests that run every five minutes and test each site on the list.

Using Splunk gave us the opportunity to create a custom app that combines these synthetic transactions with our existing web logs. Now we can spot error trends and availability issues many times before our customers are even affected.",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,Public Sector,113 (Level 1) ,Splunk Enterprise,Developer;;Operations Manager;;Administrator,Intermediate,Application Delivery;;Big Data;;Business Analytics;;Cloud Solutions;;IT Operations;;Log Management;;Security Compliance and Anti-fraud;;Best Practices;;Customer Success Story,"Justin Brown - IT Engineer, Pacific Northwest National Laboratory",Application Delivery,Breakout Sessions
166,19,"Using Splunk to Enhance, And Prove, Your Security Awareness Programs","This talk will highlight how any organization can leverage Splunk to assist in the enhancement of their security awareness program. It will demonstrate how Splunk can be used by teams to analyze the effectiveness of their awareness programs while highlighting areas of improvement before, and after, training has provided to staff. Furthermore, the session will provide tips to attendees on how to incorporate Splunk directly into their security awareness training materials.",2015-09-24,Unknown,2015-09-24 15:00,Technology,319 (Level 3) ,Splunk Enterprise,Security Analyst;;CISO,Good for All Skill Levels,Security Compliance and Anti-fraud;;Best Practices;;Customer Success Story,"Josh Diakun - Managing Partner, Discovered Intelligence",Security Compliance and Anti-fraud,Breakout Sessions
157,18,Building a Splunk App to Look at Dynamic Pricing for Uber and the Electrical Grid,"Uber and Electricity?what do they have in common? Their prices are based on supply and demand. How that price is determined varies significantly, as anyone who has tried to use Uber on New Year's Eve or around an epic Boston snowstorm can tell you. Imagine if electricity was priced based on how many other people were using it? It turns out electricity pricing actually is done this way!
In this presentation, we'll learn about the pricing models used by Uber for surge pricing, as well as the electrical grid where charges are based on usage during peak periods (such as a hot summer day). Through the construction of a Splunk app and custom inputs, we'll leverage Splunk to collect and analyze some big data for Uber and electricity price data. We'll use the resulting analytics to show similarities and differences between the models.",2015-09-24,2015-09-24 13:15,2015-09-24 14:00,"Energy and Utilities
Manufacturing",111-112 (Level 1) ,Splunk Enterprise,Administrator;;Developer;;Operations Manager;;Security Analyst,Advanced,Big Data;;Business Analytics;;IoT and Industrial Data;;Data Science;;Customer Success Story,"James Nichols - Principal Engineer, Cloud Architect, Splunk Evangelist, EnerNOC, Inc.",Business Analytics,Breakout Sessions
156,17,Recursive Splunking--Building a Data Rube Goldberg Machine with Splunk,"Discussion on our use of Splunk to normalize data feed it into ""models"" and pipe the output back into Splunk for additional analysis. Also explores extending the Splunk Query Language.",2015-09-24,2015-09-24 12:15,2015-09-24 13:00,"Manufacturing
Technology",320 (Level 3) ,Splunk Enterprise,Operations Manager;;Administrator,Good for All Skill Levels ,IoT and Industrial Data;;Customer Success Story;;Best Practices,"Greg Hrebek - Director of Engineering, New York Air Brake",Using Splunk/Search Language,Breakout Sessions
181,15,Building a Proactive Remediation Strategy Using Splunk and ServiceNow,"Your IT infrastructure was built for productivity, but is now the beating heart of your organization. With intrusion attempts and malware on the rise, protecting it is key. And it?s a moving target: new systems are coming on line at an increasing rate. Sound familiar? At ServiceNow, we face these challenges internally, and with thousands of our customers. We operate one of the top enterprise clouds supporting customers in all industries. Our own software provides service and change management capabilities, but how do we evaluate risk, react to outages, stop emerging threats, and have a proactive remediation strategy? Splunk provides the intelligence, feeding directly into an automated approach to enterprise service delivery, and illuminates the correlation between business service and risks and incidents. Attend this session and learn what happens when Splunk intelligence is combined with ServiceNow?s security and operations management solutions.

",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Unknown,Unknown,Splunk Enterprise,Administrator;;Operations Manager;;Security Analyst,Good for All Skill Levels,Cloud Solutions;;Security Compliance and Anti-fraud,"Eric Schroeder - Director, Application Engineering, ServiceNow;;Myke Lyons - Director, Information Security, ServiceNow",Security Compliance and Anti-fraud,Breakout Sessions
133,15,Splunking AWS for End-to-end Visibility,"As companies start to develop their applications and send data to AWS, the need to monitor their cloud infrastructure becomes critical. Splunk offers a solution that allows these organizations a way to have visibility across their AWS Cloud infrastructure in one platform. This session will explain the different components of what can be monitored and how to collect the data in Splunk. In addition to an explanation, sample configurations will be provided to quickly set up the Splunk App to collect the available metrics from AWS (CloudTrail, Config, Cloudwatch, and more!).   This session will also cover how to create custom inputs for third party AWS vendors. If you're just starting to deploy into AWS, an AWS developer, third party vendor, or just someone who wants to get their AWS data into Splunk, this session will help you to get it done. ",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Unknown,114 (Level 1) ,Splunk Cloud;;Splunk Enterprise,Architect;;Business Manager;;Operations Manager;;Developer;;Administrator,Intermediate,Cloud Solutions;;IT Operations;;Log Management;;Security Compliance and Anti-fraud;;Application Delivery,"Kamilo Amir - Sr. Sales Engineer, Splunk;;Matt Poland - Sr. Sales Engineer, Splunk",Cloud,Breakout Sessions
